This is the complete list of games supported by PinMAME 2.3 [MAME 0.76] (Dec 24 2010).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Game Name                        |Working|Colors | Sound | Flip  |   Name   |
+----------------------------------+-------+-------+-------+-------+----------+
| (Pinball) Lizard                 |  Yes  |  Yes  | Yes(2)|  Yes  | lizard   |
| 250 CC                           |  Yes  |  Yes  |  Yes  |  Yes  | ind250cc |
| 301/Bullseye                     |  Yes  |  Yes  |  Yes  |  Yes  | bullseye |
| A.G. Soccer Ball                 |  Yes  |  Yes  |  Yes  |  Yes  | agsoccer |
| Aaron Spelling                   |  Yes  |  Yes  |  Yes  |  Yes  | aar_101  |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_lx3 |
| Addams Family Values             |  Yes  |  Yes  | Yes(2)|  Yes  | afv_l4   |
| Addams Family, The               |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l5   |
| Af-Tor                           |   No  |  Yes  |  Yes  |  Yes  | aftor    |
| Agents 777                       |  Yes  |  Yes  | Yes(2)|  Yes  | agent777 |
| Airborne                         |  Yes  |  Yes  |  Yes  |  Yes  | abv106   |
| Airborne Avenger                 |  Yes  |  Yes  |  Yes  |  Yes  | aavenger |
| Al Capone                        |  Yes  |  Yes  |  Yes  |  Yes  | alcapone |
| Al's Garage Band Goes On A World |  Yes  |  Yes  |  Yes  |  Yes  | wrldtour |
| Algar                            |  Yes  |  Yes  | Yes(2)|  Yes  | algar_l1 |
| Ali                              |  Yes  |  Yes  | Yes(2)|  Yes  | ali      |
| Alien Poker                      |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_l6 |
| Alien Star                       |  Yes  |  Yes  | Yes(2)|  Yes  | alienstr |
| Alley Cats                       |  Yes  |  Yes  | Yes(2)|  Yes  | alcat_l7 |
| Amazon Hunt                      |  Yes  |  Yes  | Yes(2)|  Yes  | amazonh  |
| America 1492                     |  Yes  |  Yes  |  Yes  |  Yes  | america  |
| Andromeda                        |  Yes  |  Yes  | Yes(2)|  Yes  | andromed |
| Antar                            |  Yes  |  Yes  |Partial|  Yes  | antar    |
| Apollo 13                        |  Yes  |  Yes  |  Yes  |  Yes  | apollo13 |
| Aqualand                         |  Yes  |  Yes  |  Yes  |  Yes  | aqualand |
| Arena                            |  Yes  |  Yes  | Yes(2)|  Yes  | arena    |
| Asteroid Annie and the Aliens    |  Yes  |  Yes  | Yes(2)|  Yes  | astannie |
| Atarians, The                    | No(1) |  Yes  |  Yes  |  Yes  | atarians |
| Atlantis                         |  Yes  |  Yes  |   No  |  Yes  | atla_ltd |
| Atlantis                         |  Yes  |  Yes  | Yes(2)|  Yes  | atlantis |
| Atleta                           |  Yes  |  Yes  |  Yes  |  Yes  | atleta   |
| Attack                           |  Yes  |  Yes  |Partial|  Yes  | attack   |
| Attack From Mars                 |  Yes  |  Yes  | Yes(2)|  Yes  | afm_113  |
| Attila The Hun                   |  Yes  |  Yes  | Yes(2)|  Yes  | attila   |
| Austin Powers                    |  Yes  |  Yes  |  Yes  |  Yes  | austin   |
| BMX                              |  Yes  |  Yes  |  Yes  |  Yes  | bmx      |
| Baby Pacman                      |  Yes  |  Yes  |  Yes  |  Yes  | babypac  |
| Back To the Future               |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a27 |
| Bad Cats                         |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_l5 |
| Bad Girls                        |  Yes  |  Yes  | Yes(2)|  Yes  | badgirls |
| Banzai Run                       |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_l3 |
| Barb Wire                        |  Yes  |  Yes  | Yes(2)|  Yes  | barbwire |
| Barracora                        |  Yes  |  Yes  | Yes(2)|  Yes  | barra_l1 |
| Batman                           |  Yes  |  Yes  |  Yes  |  Yes  | btmn_103 |
| Batman Forever                   |  Yes  |  Yes  |  Yes  |  Yes  | batmanf  |
| Baywatch                         |  Yes  |  Yes  |  Yes  |  Yes  | baywatch |
| Beat the Clock                   |  Yes  |  Yes  |  Yes  |  Yes  | beatclck |
| Bell Ringer                      |  Yes  |  Yes  | Yes(2)|  Yes  | bellring |
| Big Ball Bowling                 |  Yes  |  Yes  | Yes(2)|  Yes  | bbbowlin |
| Big Bang Bar                     |  Yes  |  Yes  |  Yes  |  Yes  | bbb109   |
| Big Game                         |  Yes  |  Yes  | Yes(2)|  Yes  | biggame  |
| Big Guns                         |  Yes  |  Yes  | Yes(2)|  Yes  | bguns_l8 |
| Big House                        |  Yes  |  Yes  | Yes(2)|  Yes  | bighouse |
| Big Hurt                         |  Yes  |  Yes  | Yes(2)|  Yes  | bighurt  |
| Big Strike                       |  Yes  |  Yes  |  Yes  |  Yes  | bstrk_l1 |
| Big Town                         |  Yes  |  Yes  |  Yes  |  Yes  | bigtown  |
| Black Beauty                     |  Yes  |  Yes  | Yes(2)|  Yes  | blbeauty |
| Black Belt                       |  Yes  |  Yes  |  Yes  |  Yes  | blackblt |
| Black Belt                       |  Yes  |  Yes  |Partial|  Yes  | bbeltzac |
| Black Fever                      |  Yes  |  Yes  |Partial|  Yes  | blkfever |
| Black Hole                       |  Yes  |  Yes  |   No  |  Yes  | bhol_ltd |
| Black Hole                       |  Yes  |  Yes  | Yes(2)|  Yes  | blckhole |
| Black Hole                       |  Yes  |  Yes  | Yes(2)|  Yes  | blkholea |
| Black Jack                       |  Yes  |  Yes  |  Yes  |  Yes  | blackjck |
| Black Knight                     |  Yes  |  Yes  | Yes(2)|  Yes  | bk_l4    |
| Black Knight 2000                |  Yes  |  Yes  | Yes(2)|  Yes  | bk2k_l4  |
| Black Pyramid                    |  Yes  |  Yes  |  Yes  |  Yes  | blakpyra |
| Black Rose                       |  Yes  |  Yes  | Yes(2)|  Yes  | br_l4    |
| Black Sheep Squadron             |  Yes  |  Yes  |  Yes  |  Yes  | blkshpsq |
| Black Velvet                     |  Yes  |  Yes  |  Yes  |  Yes  | blvelvet |
| Blackout                         |  Yes  |  Yes  | Yes(2)|  Yes  | blkou_l1 |
| Blackwater 100                   |  Yes  |  Yes  |  Yes  |  Yes  | black100 |
| Bone Busters Inc.                |  Yes  |  Yes  | Yes(2)|  Yes  | bonebstr |
| Bounty Hunter                    |  Yes  |  Yes  | Yes(2)|  Yes  | bountyh  |
| Bow & Arrow                      |  Yes  |  Yes  |  Yes  |  Yes  | bowarrow |
| Bram Stoker's Dracula            |  Yes  |  Yes  | Yes(2)|  Yes  | drac_l1  |
| Brave Team                       |  Yes  |  Yes  |  Yes  |  Yes  | brvteam  |
| Break                            |  Yes  |  Yes  |  Yes  |  Yes  | break    |
| Break Shot                       |  Yes  |  Yes  |  Yes  |  Yes  | bsv103   |
| Brooks & Dunn                    |  Yes  |  Yes  | Yes(2)|  Yes  | brooks   |
| Buck Rogers                      |  Yes  |  Yes  | Yes(2)|  Yes  | buckrgrs |
| Bugs Bunny Birthday Ball         |  Yes  |  Yes  | Yes(2)|  Yes  | bbnny_l2 |
| Bushido                          |  Yes  |  Yes  |  Yes  |  Yes  | bushido  |
| Cactus Canyon                    |  Yes  |  Yes  | Yes(2)|  Yes  | cc_13    |
| Cactus Jack's                    |  Yes  |  Yes  | Yes(2)|  Yes  | cactjack |
| Camel Lights                     |  Yes  |  Yes  |  Yes  |  Yes  | camlight |
| Canasta '86'                     |  Yes  |  Yes  |  Yes  |  Yes  | canasta  |
| Captain Hook                     |  Yes  |  Yes  | Yes(2)|  Yes  | cpthook  |
| Car Hop                          |  Yes  |  Yes  | Yes(2)|  Yes  | carhop   |
| Caribbean Cruise                 |  Yes  |  Yes  | Yes(2)|  Yes  | ccruise  |
| Catacomb                         |  Yes  |  Yes  | Yes(2)|  Yes  | catacomb |
| Cavaleiro Negro                  |  Yes  |  Yes  | Yes(2)|  Yes  | cavnegro |
| Caveman                          |  Yes  |  Yes  | Yes(2)|  Yes  | caveman  |
| Centaur                          |  Yes  |  Yes  |  Yes  |  Yes  | centaur  |
| Cerberus                         |  Yes  |  Yes  |Partial|  Yes  | cerberus |
| Champion Pub, The                |  Yes  |  Yes  | Yes(2)|  Yes  | cp_16    |
| Chance                           |  Yes  |  Yes  |  Yes  |  Yes  | chance   |
| Charlie's Angels                 |  Yes  |  Yes  | Yes(2)|  Yes  | charlies |
| Checkpoint                       |  Yes  |  Yes  |  Yes  |  Yes  | ckpt_a17 |
| Cheetah                          |  Yes  |  Yes  | Yes(2)|  Yes  | cheetah  |
| Chuck-A-Luck                     |  Yes  |  Yes  |  Yes  |  Yes  | chucklck |
| Circa 1933                       |  Yes  |  Yes  |  Yes  |  Yes  | circa33  |
| Circus                           |  Yes  |  Yes  | Yes(2)|  Yes  | circus   |
| Cirqus Voltaire                  |  Yes  |  Yes  | Yes(2)|  Yes  | cv_14    |
| City Slicker                     |  Yes  |  Yes  |  Yes  |  Yes  | cityslck |
| Class of 1812                    |  Yes  |  Yes  | Yes(2)|  Yes  | clas1812 |
| Cleopatra                        |  Yes  |  Yes  | Yes(2)|  Yes  | cleoptra |
| Close Encounters of the Third Kin|  Yes  |  Yes  | Yes(2)|  Yes  | closeenc |
| Clown                            |  Yes  |  Yes  |Partial|  Yes  | clown    |
| Clown                            |  Yes  |  Yes  |  Yes  |  Yes  | pinclown |
| Cobra                            |  Yes  |  Yes  |Partial|  Yes  | cobra    |
| Columbia                         |  Yes  |  Yes  |  Yes  |  Yes  | columbia |
| Comet                            |  Yes  |  Yes  | Yes(2)|  Yes  | comet_l5 |
| Coney Island!                    |  Yes  |  Yes  | Yes(2)|  Yes  | coneyis  |
| Congo                            |  Yes  |  Yes  | Yes(2)|  Yes  | congo_21 |
| Contact                          |  Yes  |  Yes  | Yes(2)|  Yes  | cntct_l1 |
| Continental                      |   No  |  Yes  |  Yes  |  Yes  | cntinntl |
| Corsario                         |  Yes  |  Yes  |  Yes  |  Yes  | corsario |
| Corvette                         |  Yes  |  Yes  | Yes(2)|  Yes  | corv_21  |
| Cosmic                           |  Yes  |  Yes  | Yes(2)|  Yes  | cosmic   |
| Cosmic Gunfight                  |  Yes  |  Yes  | Yes(2)|  Yes  | csmic_l1 |
| Cosmic Princess                  |  Yes  |  Yes  | Yes(2)|  Yes  | princess |
| Count-Down                       |  Yes  |  Yes  | Yes(2)|  Yes  | countdwn |
| Counterforce                     |  Yes  |  Yes  | Yes(2)|  Yes  | cntforce |
| Cowboy Eight Ball                |  Yes  |  Yes  |  Yes  |  Yes  | cowboy   |
| Creature from the Black Lagoon   |  Yes  |  Yes  | Yes(2)|  Yes  | cftbl_l4 |
| Cue                              |  Yes  |  Yes  | Yes(2)|  Yes  | cue      |
| Cue Ball Wizard                  |  Yes  |  Yes  | Yes(2)|  Yes  | cueball  |
| Cybernaut                        |  Yes  |  Yes  |  Yes  |  Yes  | cybrnaut |
| Cyclone                          |  Yes  |  Yes  | Yes(2)|  Yes  | cycln_l5 |
| Cyclopes                         |  Yes  |  Yes  | Yes(2)|  Yes  | cyclopes |
| Dakar                            |  Yes  |  Yes  |Partial|  Yes  | dakar    |
| Dark Shadow                      |  Yes  |  Yes  |  Yes  |  Yes  | darkshad |
| Data East Test Chip              |  Yes  |  Yes  |  Yes  |  Yes  | detest   |
| Deadly Weapon                    |  Yes  |  Yes  | Yes(2)|  Yes  | deadweap |
| Defender                         |  Yes  |  Yes  | Yes(2)|  Yes  | dfndr_l4 |
| Demolition Man                   |  Yes  |  Yes  | Yes(2)|  Yes  | dm_lx4   |
| Devil Riders                     |  Yes  |  Yes  |  Yes  |  Yes  | dvlrider |
| Devil's Dare                     |  Yes  |  Yes  | Yes(2)|  Yes  | dvlsdre2 |
| Devil's Dare                     |  Yes  |  Yes  | Yes(2)|  Yes  | dvlsdre  |
| Diamond Lady                     |  Yes  |  Yes  | Yes(2)|  Yes  | diamond  |
| Diner                            |  Yes  |  Yes  | Yes(2)|  Yes  | diner_l4 |
| Dinosaur Eggs                    |  Yes  |  Yes  |  Yes  |  Yes  | dinoeggs |
| Dirty Harry                      |  Yes  |  Yes  | Yes(2)|  Yes  | dh_lx2   |
| Disco '79                        |  Yes  |  Yes  |  Yes  |  Yes  | disco79  |
| Disco Fever                      |  Yes  |  Yes  | Yes(2)|  Yes  | disco_l1 |
| Dolly Parton                     |  Yes  |  Yes  | Yes(2)|  Yes  | dollyptn |
| Dr. Dude                         |  Yes  |  Yes  | Yes(2)|  Yes  | dd_l2    |
| Dr. Who                          |  Yes  |  Yes  | Yes(2)|  Yes  | dw_l2    |
| Dracula                          |  Yes  |  Yes  | Yes(2)|  Yes  | dracula  |
| Dragon                           |  Yes  |  Yes  | Yes(2)|  Yes  | dragon   |
| Dragonfist                       |  Yes  |  Yes  | Yes(2)|  Yes  | dragfist |
| Drakor                           |  Yes  |  Yes  | Yes(2)|  Yes  | drakor   |
| Dungeons & Dragons               |  Yes  |  Yes  |  Yes  |  Yes  | dungdrag |
